idx,n_sentences,uncertainty,factuality
62464,9,0.6959149556107453,1.0
49661,7,0.9577786855583911,0.7857142857142857
20483,9,0.6717590230193764,0.5
71174,9,0.8535695326980456,0.9444444444444444
39945,11,0.6781925767188733,0.45454545454545453
26126,11,0.7659036014107228,0.6363636363636364
61454,9,0.8659479289235201,1.0
37904,7,0.5749775084060404,0.35714285714285715
61460,8,0.59337420051952,0.4375
48151,9,0.9196733216516906,0.6666666666666666
71192,6,0.4868764317579386,0.25
17946,12,0.6883444603368559,0.3333333333333333
21020,7,0.671408839945197,0.7142857142857143
20508,10,0.6473194588424485,0.15
13854,9,0.7650988432093678,0.5
1060,7,0.8367367300198306,0.5714285714285714
72743,6,0.8987418868525462,0.9166666666666666
69672,5,0.4287425363707916,0.0
66602,7,0.6029866602750968,0.6428571428571429
2091,10,0.5883807196388988,0.25
35884,10,0.7537464428604426,0.55
56366,13,0.8406838027634308,0.8461538461538461
35887,5,0.6012013464204915,0.2
55347,6,0.8471913810629985,0.5
4147,9,0.8230057688180042,0.8333333333333334
30773,8,0.6689237670131347,1.0
30775,9,0.43390540847127945,0.1111111111111111
37431,9,0.5181244902062543,0.5555555555555556
32313,11,0.6968698773694397,0.18181818181818182
6716,8,0.7484501428664572,0.625
29757,8,0.860364768338114,0.9375
38973,10,0.7444891848924464,0.75
2115,8,0.6400497252145214,0.5625
40518,5,0.4886552524863146,1.0
57415,11,0.7553726375106387,0.5
67656,12,0.8252782492433303,1.0
25678,11,0.6242472680864839,0.4090909090909091
71246,9,0.7779738234015516,0.7777777777777778
44624,7,0.6790773944991347,0.2857142857142857
71249,7,0.5409087624539941,0.5714285714285714
22610,5,0.327902139936341,0.0
71763,10,0.8232665403553119,0.6
18516,9,0.28324962515899743,0.3333333333333333
5717,7,0.4334708048817122,0.9285714285714286
57437,11,0.8085847529792607,0.6363636363636364
20063,8,0.7628693220110818,1.0
7777,9,0.5085930876834406,0.5
30310,3,0.45553540735587983,0.0
37992,8,0.49071645074615167,0.1875
55400,9,0.6722212665543945,0.7222222222222222
